# 第5章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

46|浸水的宝箱 - 场景46|看来理智下降，会干扰人的心智。\n\n好在你精神属性非常高，意志坚韧如钢，很快就恢复冷静，查看起这怪物的尸体。\n\n【名称：人头章鱼】\n\n【类型：食物/素材】\n\n【简介：深渊鱼种，不要试图去理解它的话，那不过是为了偷袭你，分散你注意力的手段。\n\n但你如果能理解它的话....那就只能祝你好运了。\n\n可食用，可作为素材，微毒性，吃下后力量暂时+1，体质+1，精神-1，理智-20。】|COMBAT|true

47|浸水的宝箱 - 场景47|【提示：不可突破凡物的极限属性，凡物的极限属性为10。】\n\n这东西还算有点价值。\n\n你把这些碎肉聚拢摆好，然后继续查看宝箱内部。\n\n里面是一些锈蚀的货币，你拿出一枚，上面印有海螺的图案，背后则是一个卡通图案的章鱼头。\n\n【你获得100海螺币】\n\n除了这些，里面就空无一物了。\n\n说好的淡水呢？\n\n海螺币又用不了！\n\n天快黑了。\n\n你将船长骸骨丢入船舱，回到了船长室。\n\n你并不打算在晚上钓鱼，抓东西。|NORMAL|true

48|浸水的宝箱 - 场景48|因为系统提醒过，晚上会有危险，你并不想一开始就冒险。\n\n淡水的话，明天可以继续努力。\n\n食物的话，大不了吃长腿沙丁鱼！\n\n为了活下去，你不介意吃些奇怪的玩意儿，只要能提供蛋白质和能量就行。\n\n你从不轻易放弃。\n\n以前如此，现在，亦如此！\n\n你躺在那张陈旧的床上，辗转反侧。\n\n这床铺潮湿，有股霉味，让人很不舒服。\n\n但你别无选择。\n\n天彻底黑了。\n\n只有点点月光照射下来，四周除了海浪的波涛声和风声外，再无其他动静。|NORMAL|true

49|浸水的宝箱 - 场景49|你根本没有睡意，于是打开世界频道，查看起来。\n\n“爪钩可以抓到宝箱。”\n\n你发了一条情报出去。\n\n这条情报实际没什么价值，因为其他人只要看见了宝箱，就肯定就会去抓。\n\n但发出来，却能收获别人的善意，和进一步的情报。\n\n“是真的，我也抓到过一个木质资源宝箱，开出来1单位钢铁，20单位木料，20单位布料。”\n\n“那你岂不是很快就能升级船只了，羡慕啊！”\n\n“嘿嘿...我抓到了一个青铜装备宝箱，得到了一个宝贝！”|NORMAL|true

50|浸水的宝箱 - 场景50|【一条染血的珍珠项链】\n\n【种类：遗物】\n\n【品质：良品】\n\n【简介：它曾是某位新娘的嫁妆....其失主到现在都在寻找。\n\n佩戴后敏捷+1，精神-1，理智上限-5。】\n\n“额...我觉得这玩意儿不像个宝贝....”\n\n“你就是嫉妒我！”\n\n“真黑，我的船没有灯，估计得升级才有。”\n\n“被子都没有，冷死爸爸了！”\n\n“我睡不着！”\n\n“你们有没有发现海面的浪好像变大了？”\n\n“风浪越大鱼越贵，兄弟们，钓鱼走起！”\n\n“夜钓+1。”\n\n“+2。”|EXPLORATION|true

51|浸水的宝箱 - 场景51|“+10086。”\n\n“你们有没有听见歌声，还怪好听的。”\n\n“没有啊，你别吓我，大海上，哪来歌声？”\n\n“我看见了，是个美女在唱歌，好性感，你在朝我招手呢！”\n\n“哥们，注意一下你的理智值！那是只海妖，卧槽！”\n\n“你好美，你朝我游过来了！”\n\n“哥们，快躲进船长室，锁门啊！”\n\n“完了，你已经被魅惑了。”\n\n“......”\n\n“哥们还在不，大晚上的，你别吓人！”\n\n“喂？”\n\n再没有那人的聊天传来....\n\n你皱眉。|DIALOGUE|true

52|浸水的宝箱 - 场景52|这系统的提醒，绝对不是空穴来风。\n\n你仔细听了听，并没有听见歌声，随即起身，推开船长室的门。\n\n这艘幽灵船的门古旧陈腐，锁早就坏了，是个装饰品。\n\n你推开一条缝，仔细观察外边，借着月光打量四周、\n\n看了几分钟，确定没有动静你才冲了出去，然后来到船头，操控船舵，把航速减到十节。\n\n降低航速，可以减少遇怪的几率。\n\n万一在睡觉的时候遇怪，那真是死都不知怎么死的！\n\n可停在原地，也不是好选择。|NORMAL|true

53|浸水的宝箱 - 场景53|你认为，十节航速刚刚好，和背后的黑雾保持距离。\n\n处理完一切后，你回到船长室，把燧发枪摆在床头上，长矛就靠在墙上。\n\n继续看了一会聊天频道后，直到深夜，你才缓缓睡去，耳畔响起似有似无的呢喃声。\n\n你眉头紧皱，额头冒汗，似乎在做噩梦。|DIALOGUE|true

