# 第6章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

59|第一次噩梦 - 场景59|你力量不大，要撞翻溺尸，压着打是不可能的。\n\n你马不停蹄，跑到了船头甲板。\n\n在这里，你就有足够的空间和溺尸周旋了！\n\n你回头看去。\n\n不出所料，这溺尸身体肿胀蠢笨，就速度而言，不是你的对手。\n\n“能赢！”\n\n你兴奋起来，肾上腺素疯狂分泌，呼吸变得急促。\n\n船头甲板上有个高台，上面有船舵。\n\n你只需效仿古贤，以高大的船舵为掩体，围着转圈，便能甩开溺尸的追击。\n\n同时，你还在心底倒数。\n\n“48。”\n\n&#34;47。”|NORMAL|true

60|第一次噩梦 - 场景60|木矛扎穿了溺尸的脖子，但对方就像个没事人一般，追击你。\n\n.....\n\n“3。”\n\n“2。”\n\n你不再绕圈，摆脱溺尸，折身跑回了船长室。\n\n你在门口捡起了燧发枪，举枪瞄准溺尸，屏息瞄准。\n\n数米的距离，目标这么胖，你没理由打不中。\n\n只要不哑火就行！\n\n嘭！\n\n枪声震耳欲聋，似尖啸悲鸣，让人反胃。\n\n【古怪的枪声，你理智下降2】\n\n射的有点偏，但还是打中了。\n\n溺尸大半个脑袋碎裂，乌黑的脓液洒在地上，随即站立不稳，重重向前栽倒。\n\n“赢了....”|NORMAL|true

61|第一次噩梦 - 场景61|你紧绷的神经稍稍放松。\n\n你走向溺尸，准备取回地上的长矛。\n\n可就在这时，本以为死去的溺尸忽然又动了！\n\n它大半脑袋都碎了，居然还能动！\n\n惨白的大手抠住你的脚踝，力道极大，直接抠进了你的皮肉，留下抓痕。\n\n“干！这都没死？”\n\n你立刻反应过来，眼中凶光迸射，捡起长矛，再度刺向溺尸。\n\n这一矛直接从溺尸颅骨的破口中刺入。\n\n一击之后，溺尸抓握的力道渐小，看来是奏效了。|NORMAL|true

62|第一次噩梦 - 场景62|但不知为何，溺尸临死之际，把头转了过来，看向你，眼中全是恶毒之色。\n\n随即你的腹部快速鼓胀起来。\n\n自爆！？\n\n你第一时间反应过来，立刻往后倒去。\n\n嘭一声闷响，腥臭烂肉和碎骨四溅，就像下了一场血雨。\n\n溺尸自爆了，动静不小。\n\n好在溺尸是趴着的，肚子朝地，威力大多作用在甲板上。\n\n你倒地及时，躲开了飞溅的碎骨烂肉。\n\n但你的脚掌还是不幸受伤。\n\n左脚一疼，两颗牙齿穿透鞋底，刺破了你的脚掌。\n\n右臂被不明碎骨划破，好在伤口很浅。|NORMAL|true

63|第一次噩梦 - 场景63|至于坠落的血肉，已经没了杀伤力，淋在你身上，只叫人反胃。\n\n【尸体碎片恶心反胃，你理智下降2】\n\n你挣扎爬起，抠下右脚脚踝上的断手，查看自己状态。\n\n状态：受伤『人形图案上，左脚和右脚都变成了黄色。』\n\n理智：55/100\n\n精力：40/100\n\n气血：91/100\n\n你脱下左脚的鞋子，强忍疼痛，拔出了嵌在脚底的牙齿。\n\n还好威力不如子弹，穿透鞋底后，只勉强破了皮。\n\n不然的话，就真要命了！\n\n你忍痛站起，看向溺尸，随即倒吸一口凉气。|NORMAL|true

64|第一次噩梦 - 场景64|甲板上，只剩一副残缺的骸骨，脊柱全部消失，估计是飞到海里去了。\n\n肋骨的话全部如箭矢一般，扎在甲板上，入木三分。\n\n这自爆威力并不小，只是你正好处在威力最小的方向上，如果被箭矢一样的肋骨刺中，后果不堪设想！\n\n于此同时，日志上也出现了这溺尸的情报。\n\n【名称：溺亡者】\n\n【简介：溺亡在海里的不幸之人，怀着对生者的怨念，重新站了起来。\n\n可以用于怪物扭蛋机。】\n\n“怪物扭蛋机，那是什么东西？”\n\n你一头雾水。|COMBAT|true

65|第一次噩梦 - 场景65|但冷静下来后，你又注意到了一个盲点。\n\n溺亡者走到船长室前，你刚好发现了你。\n\n可这船长室的门，又是什么东西打开的？\n\n在溺亡者出现之前，这船长室的门就已经开了！\n\n想到这，你浑身汗毛竖起，听见身后有脚步声靠近，随即左肩一疼。\n\n什么东西刺中了你....|EXPLORATION|true

