# 第10章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

107|解锁交易与冷箭 - 场景107|“把武器扔地上，手头不要有多余的动作！”你的声音低沉沙哑，极具魄力。\n\n对方则有些犹豫，一时僵在原地，不知该不该扔。\n\n你则无所谓般站起，身上飘来一股浓郁的海腥腐臭，催人发吐。\n\n你左臂还挂着箭矢呢，但却像个没事人一般，眼睛都不眨一下，用左手从衣内掏出一颗巨大的眼球，啃了一口。\n\n眼球果震颤，似乎在求饶。\n\n但你太渴了，根本忍不住，三口将其吞下。\n\n乌黑粘稠的汁液沾满你的嘴角。\n\n对方直接吓傻。\n\n【受到刺激，你理智下降10】|NORMAL|true

108|解锁交易与冷箭 - 场景108|你低头一看，甲板上还有几条腐烂的长腿沙丁鱼，一条臭了的囊肿刺豚，还有一堆被咬下来的沙丁鱼头。\n\n【你看到一些不明生物，有啃食迹象，理智下降7】\n\n再联想到这是一艘幽灵船，你顿时吓得魂都要飞了。\n\n鬼叫一声后，你把武器一扔，转身就逃。\n\n你趁势瞄准，等你跑出两步，才扣动扳机。\n\n咔！\n\n枪哑火了，声音不大。\n\n对方背对你，根本没注意到。\n\n你立刻拾起你的弓箭。\n\n【名称：海盗长弓】\n\n【种类：宝物】\n\n【品级：良品】|NORMAL|true

109|解锁交易与冷箭 - 场景109|【简介：可略微提高射箭命中率，并减少拉弦所需力量。\n\n海盗的好伙计！】\n\n你毫不犹豫，果断用箭头扎了一下囊肿刺豚，然后拉弓瞄准。\n\n咻！\n\n箭矢射出。\n\n你身体虚弱，并不能拉满弓弦，准头也很差。\n\n但两艘船的距离只有三四米，你还是射中了，命中对方大腿，伤口并不深。\n\n但实际上....你是朝你胸口射的.....\n\n不过中了就行！\n\n对方直接拔掉箭矢，也不停留，径直往船头跑去，似乎想逃。\n\n你并没有追的意思，反而躺了回去。\n\n你现在状态奇差。|NORMAL|true

110|解锁交易与冷箭 - 场景110|万一对方反击，还真不好说。\n\n好在对方被吓破了胆，开船逃走了。\n\n直到耳畔没了动静，你才勉力起身。\n\n你现在看起来像个僵尸，但实际上，你也的确有变成僵尸的风险。\n\n你感觉不到疼，伤口也不流血，就是头晕，身体微微有些迟钝。\n\n你走入船舱，补充了一些水分，吃光了所有眼球果，恢复一点状态后，才看向海面。\n\n对方已经跑了蛮远了，船只变成了一个黑影。\n\n你操控梦魇号，在后面远远跟着。\n\n你在等对方毒发。|NORMAL|true

111|解锁交易与冷箭 - 场景111|毕竟这囊肿刺豚这东西，光听名字就知道有剧毒，应该是深渊污染过的河豚。\n\n而河豚毒素  ，就是因毒性厉害而出名。\n\n追了差不多一刻钟，你就追上了。\n\n然后你如法炮制，用钩爪抓住对方的船，靠近后，又用木料搭了个桥。\n\n不得不说，你状态太差了，搬运这木板，都休息了三四躺。\n\n登陆对方船只后，你手握燧发枪，保持警惕，慢慢靠近船头甲板。\n\n对方看似死了，躺在地上一动不动。\n\n但这也可能是装的，为了让你放松警惕！\n\n你说不定有解毒剂！|NORMAL|true

112|解锁交易与冷箭 - 场景112|你警惕的很，隔着四五米的安全距离，朝你脑瓜就来了一枪。\n\n咔！\n\n枪哑火了，这玩意儿真是让人无语！\n\n不过你很有耐心。\n\n一分钟后。\n\n嘭！\n\n对方整个脑瓜炸开变成一滩浆糊。\n\n到这时，你才彻底放心靠近。\n\n一朝被蛇咬，十年怕草绳。\n\n被溺亡者阴了后，你多了100个心眼。\n\n你检查对方的尸体，发现掉落有一个光球。\n\n【你获得了海螺币*400】\n\n这应该是对方身上的钱。\n\n然后你那身海盗服也是好东西。\n\n【血迹斑斑的华丽海盗服】\n\n【种类：遗物】|EXPLORATION|true

113|解锁交易与冷箭 - 场景113|【品质：良品】\n\n【简介：这身衣服来自一位自命不凡的傻瓜。\n\n敏捷+1，穿上后理智会持续下降，精神8以上可免疫理智持续下降的效果。】\n\n对方穿着这衣服，估计理智高不到哪去，搞不好已经疯了。\n\n你收下这件衣服，准备在这艘海盗船上搜刮一波。\n\n但你忽然发现....自己那个问号技能的解锁条件从0/3，变成1/3。\n\n“难道自己的解锁条件是杀人？”\n\n你不敢确定，因为不知道具体是什么时候加的。|EXPLORATION|true

