# 第4章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

34|你管这叫鱼？ - 场景34|只钓到过袜子，农妇三拳，甚至还有气球。”\n\n“农妇三拳.......？”\n\n“这气球，它正经吗？不会是用过的吧？”\n\n...........\n\n通过查看聊天记录，可以判断。\n\n在这里钓鱼，能钓到很多不可思议的东西。\n\n甚至还有怪物。\n\n你已经有了心理准备，如果浮上来的东西不对劲，你立刻就切线。\n\n几分钟后，浮标终于开始抖动，似乎有东西在咬钩。\n\n你屏息凝神。\n\n你手头有长矛，有手枪，只要是条鱼，应该就问题不大.....|DIALOGUE|true

35|你管这叫鱼？ - 场景35|浮标沉入，就是现在，拉竿！\n\n你大力一拉，死死盯着蔚蓝色的海面。\n\n你没有看见什么巨大阴影，仅随手一拉就将那东西扯出了海面，简直毫无阻力。\n\n甩上来的，是一条拇指粗细的小鱼，但不完全是鱼。\n\n体长约三厘米，鱼身呈流线型，和一般沙丁鱼差不多。\n\n可这鱼，两侧生有四条五厘米的大长腿，四足站立，站在船甲板上。\n\n你呆了，和这条鱼对视起来....\n\n“这是鱼?”\n\n你震惊。\n\n【你发现一条怪鱼，理智下降2点。】|EXPLORATION|true

36|你管这叫鱼？ - 场景36|下一秒，这鱼娴熟使用自己的大长腿，往大海逃去，被你一矛拍死在地上。\n\n【名称：长腿沙丁鱼】\n\n【种类：食物】\n\n【简介：深渊鱼种，据说经常吃它，可以变成大长腿。\n\n可以吃，无毒，味道鲜美，但吃它需要勇气，可能降低理智。】\n\n你将鱼捏起，重量应该不到一百克，四条惨白的长腿已经骨折，结构和人类的腿一模一样，触感QQ弹弹。\n\n“这能吃？”\n\n你想起了这艘船带的技能——垂钓者诅咒：将钓不到正常鱼类。|NORMAL|true

37|你管这叫鱼？ - 场景37|你用日志，拍下这条鱼的照片，分享到了世界频道。\n\n“请问你们有谁钓到过这种鱼吗？”\n\n一石激起千层浪。\n\n“卧槽，你这是什么东西，精神污染啊，理智-8。”\n\n“你管这叫鱼？”\n\n“你为什么要伤害我的眼睛，理智-10！”\n\n“拉黑了！”\n\n“拉黑！”\n\n“此生不复见！”\n\n你瞬间被上十亿人拉黑，这些人或多或少，都有理智下降。\n\n但有一人忽然私聊了过来。\n\n“你所在海域的海水是不是黑的？最好快些离开，否则可能遭到一些正体不明的怪物袭击！”|COMBAT|true

38|你管这叫鱼？ - 场景38|你看了一眼自己船下蔚蓝一片的大海，有几分无语。\n\n“并不是，我的船是幽灵船...”\n\n“哇，你可以啊！加个好友呗！”\n\n疾风号船长徐达提交好友申请。\n\n你同意了，加个好友而已，并不会有任何损失。\n\n“你最好不要再发这种照片了，我理智只有54了，再跌就要发疯了。”\n\n“知道了。”\n\n你也意识到了事情的严重性，但为了食物和淡水，你必须继续钓鱼！\n\n【你钓到一条长腿沙丁鱼。】\n\n【你钓到一条长腿沙丁鱼。】|NORMAL|true

39|你管这叫鱼？ - 场景39|【你钓到一条瘸了一腿的长腿沙丁鱼。】\n\n“SHIT！”\n\n【你的理智下降1】\n\n你感觉系统就是故意的，给你一艘不正常的船。\n\n换成常人，钓鱼都钓不了一天就会发疯。\n\n钓了三个小时，你共收获了八条长腿沙丁鱼，有的缺了一腿。\n\n可是淡水，你是毛都没看见！\n\n说好的农妇三拳呢？\n\n没食物，人都能活一周以上。\n\n但没有水，人会在三到五天内死去，除非....喝自己的尿！\n\n除非迫不得已，你不想走到那一步！|NORMAL|true

40|你管这叫鱼？ - 场景40|你心一横，直接抓起一条长腿沙丁鱼当做鱼饵，开始了下一次垂钓。|NORMAL|false

41|神秘海域探索|使用长腿沙丁鱼作为鱼饵后，你的钓鱼效率明显提高了。\n\n浮标频繁抖动，但每次拉上来的都是更加奇怪的生物。\n\n有长着人手的章鱼，有会说话的海星，甚至还有一条长着翅膀的鱼。\n\n你的理智在不断下降，但你必须继续，为了生存。|EXPLORATION|false

42|联手战斗|正当你准备收竿休息时，海面突然涌起巨浪。\n\n一只巨大的海怪从深海中浮现，它有着无数触手和血红的眼睛。\n\n这时，你的好友徐达驾驶着疾风号赶到了。\n\n"一起战斗！"他大喊道。|COMBAT|false

43|战斗胜利|经过激烈的战斗，你们成功击败了海怪。\n\n海怪在临死前发出了诅咒般的嘶吼，但最终还是沉入了海底。\n\n徐达向你竖起了大拇指："干得漂亮！"\n\n你们在海怪的残骸中发现了一些珍贵的材料。|VICTORY|false

44|新的盟友|战斗结束后，徐达提议结成长期的合作关系。\n\n"这片海域很危险，我们需要互相帮助。"他说道。\n\n你同意了这个提议，并交换了联系方式。\n\n从此，你在这片神秘的海域中有了一个可靠的盟友。|ALLIANCE|false

45|分别时刻|徐达准备返回自己的航线，临别前他给了你一些补给。\n\n"保重，朋友。如果遇到危险，记得联系我。"\n\n你目送着疾风号消失在地平线上，心中涌起一阵暖流。\n\n在这个危险的世界里，友谊显得格外珍贵。|CHAPTER_END|false

46|宝藏海域发现|继续航行中，你发现了一片从未见过的海域。\n\n这里的海水呈现出奇异的金色，仿佛蕴含着某种神秘的力量。\n\n你的船只探测器显示，海底有大量的金属反应。\n\n这可能是一个宝藏海域！|EXPLORATION|false

47|深海探险|你决定潜入这片金色海域探索。\n\n穿上简易的潜水装备，你小心翼翼地下潜。\n\n海底的景象让你震惊：到处都是沉船的残骸，还有闪闪发光的宝箱。\n\n但同时，你也感受到了某种不祥的气息。|EXPLORATION|false

48|神秘入口|在海底探索时，你发现了一个巨大的石门。\n\n石门上刻着古老的符文，散发着幽蓝色的光芒。\n\n这似乎是通往某个神秘地下世界的入口。\n\n你犹豫着是否要推开这扇门，因为你能感受到门后传来的强大而危险的气息。\n\n但好奇心最终战胜了恐惧，你伸出手触摸了石门...|PUZZLE|false

