# 第8章数据文件
# 格式: 场景号|标题|内容|类型|是否结局
# 用 | 分隔字段，用 \n\n 表示段落分隔

84|怪物扭蛋机 - 场景84|【简介：一把锋利的匕首，手感舒适，可造成微量伤害。它唯一的缺点，就是短！】\n\n“好了，我们都知道你很短了。”\n\n“这武器你卖我，我都不要，丢不起这个人！”\n\n“......”\n\n许多人都晒出了自己的扭蛋战利品，但精品却很少，看见的就这两个，其他都是良品。\n\n总体而言，遗物的效果要比宝物要好，但是有降低理智的风险，且有概率有副作用。\n\n你手中的锈蚀燧发枪可造成中量伤害，而其他精品武器，大多都是微量伤害。\n\n厉害了不是一点半点。|NORMAL|true

85|怪物扭蛋机 - 场景85|但限制大，一分钟一枪，而且还哑火，扣理智...\n\n算是一种平衡方式吧。\n\n你收回视线，一口吞下半条长腿沙丁鱼。\n\n你太饿了，而且经过昨晚一役，你的顾虑少了很多。\n\n为了活着，这些都不是问题。\n\n【生吃长腿沙丁鱼，你的理智下降2点。】\n\n这鱼其实有点变味了，但好在没腐烂。\n\n可以提供能量和少量水分。\n\n你将沙丁鱼全吃了，这才有了一丝饱腹感，然后查看自己的状态。|NORMAL|true

86|怪物扭蛋机 - 场景86|经昨晚休息后，精力理智都有恢复，但因为噩梦和失眠的关系，精力恢复效果很差。\n\n伤口也没好利索，不知道会不会感染....\n\n你\n\n状态：受伤『一个大字型人体图案，伤口处是黄色』\n\n理智：74/100\n\n精力：52/100\n\n气血：83/100\n\n你进到船舱。\n\n今天当务之急，是制作发声陷阱。\n\n这些异魔智慧不高，所以陷阱不需要做的很隐蔽。\n\n只需要通过简易合成功能，制作一些长绳，然后在薄木片上大洞，串起来就行了。\n\n木片很好得，直接取就行。|VICTORY|true

87|怪物扭蛋机 - 场景87|这游戏里木料可以变成任意立方体的形状，一单位差不多等于一立方分米的木头块。\n\n你把木片串好后，打结隔开，挂在船长室前的过道，以及门上。\n\n你试了一下，风吹动和人撞到，声音差别还是蛮大的，可以起到一定的预警效果。\n\n等弄完这些，一个上午就过去了，先前捞到的木料和布料也被消耗一空。\n\n你并不急着弄这些资源。\n\n当务之急，还是淡水，必须多钓鱼，同时留心飘过的物资，看看有没有宝箱。|NORMAL|true

88|怪物扭蛋机 - 场景88|正想着，你忽然发现身体有些不对，似乎有些热，脸很烫，肚子有些疼。\n\n你立刻警觉，再度查看起自己的状态。\n\n你\n\n状态：受伤/尸毒感染（轻微）/食物中毒（轻微，腹泻）『整个身体都变成了黄色，有伤口的地方颜色则深一些』\n\n“糟了！”\n\n你最不想遇见的情况还是发生了。\n\n溺亡者有尸毒，你被感染了！\n\n可你在大海上，并没有药物....|EXPLORATION|true

